"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\Preetam\Desktop\virgio_mongo\backend\app.js", "JavaScript", 28, 0, 2, 10, 40
"c:\Users\Preetam\Desktop\virgio_mongo\backend\controllers\restaurantController.js", "JavaScript", 116, 0, 2, 35, 153
"c:\Users\Preetam\Desktop\virgio_mongo\backend\controllers\userController.js", "JavaScript", 78, 0, 0, 22, 100
"c:\Users\Preetam\Desktop\virgio_mongo\backend\middlewares\authMiddleware.js", "JavaScript", 16, 0, 1, 5, 22
"c:\Users\Preetam\Desktop\virgio_mongo\backend\models\menu.js", "JavaScript", 10, 0, 1, 4, 15
"c:\Users\Preetam\Desktop\virgio_mongo\backend\models\restaurant.js", "JavaScript", 24, 0, 1, 5, 30
"c:\Users\Preetam\Desktop\virgio_mongo\backend\models\user.js", "JavaScript", 21, 0, 1, 5, 27
"c:\Users\Preetam\Desktop\virgio_mongo\backend\package-lock.json", "JSON", 0, 1055, 0, 1, 1056
"c:\Users\Preetam\Desktop\virgio_mongo\backend\package.json", "JSON", 0, 24, 0, 1, 25
"c:\Users\Preetam\Desktop\virgio_mongo\backend\routes\restaurantRoutes.js", "JavaScript", 13, 0, 0, 4, 17
"c:\Users\Preetam\Desktop\virgio_mongo\backend\routes\userRoutes.js", "JavaScript", 9, 0, 1, 4, 14
"c:\Users\Preetam\Desktop\virgio_mongo\backend\scripts\populateMenu.js", "JavaScript", 34, 0, 1, 9, 44
"c:\Users\Preetam\Desktop\virgio_mongo\backend\scripts\populateRestaurant.js", "JavaScript", 43, 0, 1, 11, 55
"c:\Users\Preetam\Desktop\virgio_mongo\backend\scripts\populateUser.js", "JavaScript", 40, 0, 0, 9, 49
"c:\Users\Preetam\Desktop\virgio_mongo\backend\utils\bcryptUtils.js", "JavaScript", 9, 0, 0, 5, 14
"c:\Users\Preetam\Desktop\virgio_mongo\backend\utils\jwtUtils.js", "JavaScript", 10, 0, 0, 5, 15
"Total", "-", 451, 1079, 11, 135, 1676
