"filename", "language", "JSON", "JavaScript", "Vue", "Properties", "HTML", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\Users\Preetam\Desktop\virgio_mongo\backend\app.js", "JavaScript", 0, -28, 0, 0, 0, 0, 0, -2, -10, -40
"c:\Users\Preetam\Desktop\virgio_mongo\backend\controllers\restaurantController.js", "JavaScript", 0, -116, 0, 0, 0, 0, 0, -2, -35, -153
"c:\Users\Preetam\Desktop\virgio_mongo\backend\controllers\userController.js", "JavaScript", 0, -78, 0, 0, 0, 0, 0, 0, -22, -100
"c:\Users\Preetam\Desktop\virgio_mongo\backend\middlewares\authMiddleware.js", "JavaScript", 0, -16, 0, 0, 0, 0, 0, -1, -5, -22
"c:\Users\Preetam\Desktop\virgio_mongo\backend\models\menu.js", "JavaScript", 0, -10, 0, 0, 0, 0, 0, -1, -4, -15
"c:\Users\Preetam\Desktop\virgio_mongo\backend\models\restaurant.js", "JavaScript", 0, -24, 0, 0, 0, 0, 0, -1, -5, -30
"c:\Users\Preetam\Desktop\virgio_mongo\backend\models\user.js", "JavaScript", 0, -21, 0, 0, 0, 0, 0, -1, -5, -27
"c:\Users\Preetam\Desktop\virgio_mongo\backend\package-lock.json", "JSON", -1055, 0, 0, 0, 0, 0, 0, 0, -1, -1056
"c:\Users\Preetam\Desktop\virgio_mongo\backend\package.json", "JSON", -24, 0, 0, 0, 0, 0, 0, 0, -1, -25
"c:\Users\Preetam\Desktop\virgio_mongo\backend\routes\restaurantRoutes.js", "JavaScript", 0, -13, 0, 0, 0, 0, 0, 0, -4, -17
"c:\Users\Preetam\Desktop\virgio_mongo\backend\routes\userRoutes.js", "JavaScript", 0, -9, 0, 0, 0, 0, 0, -1, -4, -14
"c:\Users\Preetam\Desktop\virgio_mongo\backend\scripts\populateMenu.js", "JavaScript", 0, -34, 0, 0, 0, 0, 0, -1, -9, -44
"c:\Users\Preetam\Desktop\virgio_mongo\backend\scripts\populateRestaurant.js", "JavaScript", 0, -43, 0, 0, 0, 0, 0, -1, -11, -55
"c:\Users\Preetam\Desktop\virgio_mongo\backend\scripts\populateUser.js", "JavaScript", 0, -40, 0, 0, 0, 0, 0, 0, -9, -49
"c:\Users\Preetam\Desktop\virgio_mongo\backend\utils\bcryptUtils.js", "JavaScript", 0, -9, 0, 0, 0, 0, 0, 0, -5, -14
"c:\Users\Preetam\Desktop\virgio_mongo\backend\utils\jwtUtils.js", "JavaScript", 0, -10, 0, 0, 0, 0, 0, 0, -5, -15
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\.env", "Properties", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 19, 0, 1, 20
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\package-lock.json", "JSON", 11883, 0, 0, 0, 0, 0, 0, 0, 1, 11884
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\package.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 1, 1, 18
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\App.vue", "Vue", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\components\HelloWorld.vue", "Vue", 0, 0, 55, 0, 0, 0, 0, 1, 3, 59
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\components\LayoutDiv.vue", "Vue", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\components\NavbarMain.vue", "Vue", 0, 0, 31, 0, 0, 0, 0, 0, 2, 33
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\components\pages\DashboardPage.vue", "Vue", 0, 0, 132, 0, 0, 0, 0, 0, 13, 145
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\components\pages\LoginPage.vue", "Vue", 0, 0, 137, 0, 0, 0, 0, 0, 5, 142
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\components\pages\MenuPage.vue", "Vue", 0, 0, 71, 0, 0, 0, 0, 0, 2, 73
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\components\pages\RestaurantPage.vue", "Vue", 0, 0, 296, 0, 0, 0, 0, 0, 23, 319
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\components\pages\SignUpPage.vue", "Vue", 0, 0, 337, 0, 0, 0, 0, 0, 4, 341
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\main.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 5, 7, 45
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\vue.config.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"Total", "-", 10851, -400, 1085, 1, 16, 19, 19, -4, -61, 11526
