"filename", "language", "JSON", "JavaScript", "Vue", "Properties", "HTML", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\.env", "Properties", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 19, 0, 1, 20
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\package-lock.json", "JSON", 11883, 0, 0, 0, 0, 0, 0, 0, 1, 11884
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\package.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 1, 1, 18
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\App.vue", "Vue", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\components\HelloWorld.vue", "Vue", 0, 0, 55, 0, 0, 0, 0, 1, 3, 59
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\components\LayoutDiv.vue", "Vue", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\components\NavbarMain.vue", "Vue", 0, 0, 31, 0, 0, 0, 0, 0, 2, 33
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\components\pages\DashboardPage.vue", "Vue", 0, 0, 132, 0, 0, 0, 0, 0, 13, 145
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\components\pages\LoginPage.vue", "Vue", 0, 0, 137, 0, 0, 0, 0, 0, 5, 142
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\components\pages\MenuPage.vue", "Vue", 0, 0, 71, 0, 0, 0, 0, 0, 2, 73
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\components\pages\RestaurantPage.vue", "Vue", 0, 0, 296, 0, 0, 0, 0, 0, 23, 319
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\components\pages\SignUpPage.vue", "Vue", 0, 0, 337, 0, 0, 0, 0, 0, 4, 341
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\src\main.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 5, 7, 45
"c:\Users\Preetam\Desktop\virgio_mongo\frontend\vue.config.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"Total", "-", 11930, 51, 1085, 1, 16, 19, 19, 7, 74, 13202
